layer,name,category,shapes,matrix_flops,scalar_flops,special_ops,weight_read_bytes,activation_read_bytes,activation_write_bytes,notes,repeats
aggregate; see repeats,moe.expert1.down,linear,"{""input"": [64, 512], ""weight_math"": [512, 2048], ""weight_storage"": [2048, 512], ""output"": [64, 2048]}",134217728,0,{},2097152,65536,262144,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,40
aggregate; see repeats,moe.expert2.gate_up,linear,"{""input"": [64, 2048], ""weight_math"": [2048, 1024], ""weight_storage"": [1024, 2048], ""output"": [64, 1024]}",268435456,0,{},4194304,262144,131072,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,40
aggregate; see repeats,moe.expert2.down,linear,"{""input"": [64, 512], ""weight_math"": [512, 2048], ""weight_storage"": [2048, 512], ""output"": [64, 2048]}",134217728,0,{},2097152,65536,262144,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,40
aggregate; see repeats,moe.expert3.gate_up,linear,"{""input"": [64, 2048], ""weight_math"": [2048, 1024], ""weight_storage"": [1024, 2048], ""output"": [64, 1024]}",268435456,0,{},4194304,262144,131072,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,40
aggregate; see repeats,moe.expert3.down,linear,"{""input"": [64, 512], ""weight_math"": [512, 2048], ""weight_storage"": [2048, 512], ""output"": [64, 2048]}",134217728,0,{},2097152,65536,262144,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,40
aggregate; see repeats,moe.expert4.gate_up,linear,"{""input"": [64, 2048], ""weight_math"": [2048, 1024], ""weight_storage"": [1024, 2048], ""output"": [64, 1024]}",268435456,0,{},4194304,262144,131072,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,40
aggregate; see repeats,moe.expert4.down,linear,"{""input"": [64, 512], ""weight_math"": [512, 2048], ""weight_storage"": [2048, 512], ""output"": [64, 2048]}",134217728,0,{},2097152,65536,262144,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,40
aggregate; see repeats,moe.expert5.gate_up,linear,"{""input"": [64, 2048], ""weight_math"": [2048, 1024], ""weight_storage"": [1024, 2048], ""output"": [64, 1024]}",268435456,0,{},4194304,262144,131072,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,40
aggregate; see repeats,moe.expert5.down,linear,"{""input"": [64, 512], ""weight_math"": [512, 2048], ""weight_storage"": [2048, 512], ""output"": [64, 2048]}",134217728,0,{},2097152,65536,262144,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,40
aggregate; see repeats,moe.expert6.gate_up,linear,"{""input"": [64, 2048], ""weight_math"": [2048, 1024], ""weight_storage"": [1024, 2048], ""output"": [64, 1024]}",268435456,0,{},4194304,262144,131072,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,40
aggregate; see repeats,moe.expert6.down,linear,"{""input"": [64, 512], ""weight_math"": [512, 2048], ""weight_storage"": [2048, 512], ""output"": [64, 2048]}",134217728,0,{},2097152,65536,262144,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,40
aggregate; see repeats,moe.expert7.gate_up,linear,"{""input"": [64, 2048], ""weight_math"": [2048, 1024], ""weight_storage"": [1024, 2048], ""output"": [64, 1024]}",268435456,0,{},4194304,262144,131072,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,40
aggregate; see repeats,moe.expert7.down,linear,"{""input"": [64, 512], ""weight_math"": [512, 2048], ""weight_storage"": [2048, 512], ""output"": [64, 2048]}",134217728,0,{},2097152,65536,262144,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,40
aggregate; see repeats,moe.routed_swiglu,activation,{},0,524288,"{""sigmoid"": 262144}",0,0,0,,40
aggregate; see repeats,moe.routed_weight_and_index_add,routing,{},0,2097152,{},0,2097152,2097152,Probability multiply and addition into zero-initialized destination; gather/metadata/scatter physical traffic not complete.,40
aggregate; see repeats,moe.shared.gate_up,linear,"{""input"": [64, 2048], ""weight_math"": [2048, 1024], ""weight_storage"": [1024, 2048], ""output"": [64, 1024]}",268435456,0,{},4194304,262144,131072,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,40
aggregate; see repeats,moe.shared.down,linear,"{""input"": [64, 512], ""weight_math"": [512, 2048], ""weight_storage"": [2048, 512], ""output"": [64, 2048]}",134217728,0,{},2097152,65536,262144,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,40
aggregate; see repeats,moe.shared.gate,linear,"{""input"": [64, 2048], ""weight_math"": [2048, 1], ""weight_storage"": [1, 2048], ""output"": [64, 1]}",262144,0,{},4096,262144,128,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,40
aggregate; see repeats,moe.shared_swiglu_gate_combine,activation,{},0,327680,"{""sigmoid"": 32832}",0,0,0,,40
aggregate; see repeats,final_norm,normalization,"{""rows"": 64, ""width"": 2048}",0,526400,"{""rsqrt"": 64}",4096,262144,262144,"FP32 internal arithmetic; interfaces are BF16 input/output, not internal conversion traffic.",1
aggregate; see repeats,lm_head,linear,"{""input"": [64, 2048], ""weight_math"": [2048, 248320], ""weight_storage"": [248320, 2048], ""output"": [64, 248320]}",65095598080,0,{},1017118720,262144,31784960,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,1
aggregate; see repeats,reference.conv.additional_padded_and_discarded_products,reference_supplement,{},4194304,0,{},0,0,0,"Dense convolution multiply-accumulate slots including zero-padding and outputs discarded by slices; FMA=2, not backend instruction count.",30
aggregate; see repeats,reference.conv.extra_silu_before_final_crop,reference_supplement,{},0,0,"{""sigmoid"": 0}",0,0,0,,30
aggregate; see repeats,reference.rope.frequency_outer_product,reference_supplement,{},12288,0,{},0,0,0,,1
aggregate; see repeats,reference.rope.sin_cos_and_scaling,reference_supplement,{},0,12288,"{""sin"": 6144, ""cos"": 6144}",0,0,0,Source multiplies both sin and cos by attention_scaling=1.,1
aggregate; see repeats,reference.rope.rotate_half_negation,reference_supplement,{},0,36864,{},0,0,0,,10
aggregate; see repeats,reference.full.eager_additional_softmax_and_mask,reference_supplement,{},0,8389632,"{""exp"": 0, ""max_comparisons"": 0}",0,0,0,Additional rectangular softmax positions plus attention-mask addition to every score slot.,10
aggregate; see repeats,reference.linear.A_exp_negation,reference_supplement,{},0,32,{},0,0,0,"FP32 exp(A_log), then unary negation; exponent primitive counted in primary operator.",30
