layer,name,category,shapes,matrix_flops,scalar_flops,special_ops,weight_read_bytes,activation_read_bytes,activation_write_bytes,notes
0,o_proj,linear,"{""input"": [8192, 8192], ""weight_math"": [8192, 8192], ""weight_storage"": [8192, 8192], ""output"": [8192, 8192]}",1099511627776,0,{},134217728,134217728,134217728,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
0,attention_residual,residual,"{""inputs_each"": [8192, 8192], ""output"": [8192, 8192]}",0,67108864,{},0,268435456,134217728,
0,post_attention_layernorm,normalization,"{""input"": [8192, 8192], ""weight"": [8192], ""output"": [8192, 8192]}",0,268443648,"{""rsqrt"": 8192, ""cast_elements"": 134217728}",16384,134217728,134217728,按 FP32 行内归约的代数计数；rsqrt、类型转换与临时 FP32 张量分列／不推断 HBM spill。
0,gate_proj,linear,"{""input"": [8192, 8192], ""weight_math"": [8192, 28672], ""weight_storage"": [28672, 8192], ""output"": [8192, 28672]}",3848290697216,0,{},469762048,134217728,469762048,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
0,up_proj,linear,"{""input"": [8192, 8192], ""weight_math"": [8192, 28672], ""weight_storage"": [28672, 8192], ""output"": [8192, 28672]}",3848290697216,0,{},469762048,134217728,469762048,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
0,silu_mul,activation,"{""gate"": [8192, 28672], ""up"": [8192, 28672], ""output"": [8192, 28672]}",0,939524096,"{""exp"": 234881024, ""negate"": 234881024}",0,939524096,469762048,"sigmoid: exp(-x), +1, reciprocal；再乘 x 和 up。exp 与取负分列。"
0,down_proj,linear,"{""input"": [8192, 28672], ""weight_math"": [28672, 8192], ""weight_storage"": [8192, 28672], ""output"": [8192, 8192]}",3848290697216,0,{},469762048,469762048,134217728,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
0,ffn_residual,residual,"{""inputs_each"": [8192, 8192], ""output"": [8192, 8192]}",0,67108864,{},0,268435456,134217728,
1,input_layernorm,normalization,"{""input"": [8192, 8192], ""weight"": [8192], ""output"": [8192, 8192]}",0,268443648,"{""rsqrt"": 8192, ""cast_elements"": 134217728}",16384,134217728,134217728,按 FP32 行内归约的代数计数；rsqrt、类型转换与临时 FP32 张量分列／不推断 HBM spill。
1,q_proj,linear,"{""input"": [8192, 8192], ""weight_math"": [8192, 8192], ""weight_storage"": [8192, 8192], ""output"": [8192, 8192]}",1099511627776,0,{},134217728,134217728,134217728,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
1,k_proj,linear,"{""input"": [8192, 8192], ""weight_math"": [8192, 1024], ""weight_storage"": [1024, 8192], ""output"": [8192, 1024]}",137438953472,0,{},16777216,134217728,16777216,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
1,v_proj,linear,"{""input"": [8192, 8192], ""weight_math"": [8192, 1024], ""weight_storage"": [1024, 8192], ""output"": [8192, 1024]}",137438953472,0,{},16777216,134217728,16777216,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
1,apply_rope,position,"{""Q"": [1, 64, 8192, 128], ""K"": [1, 8, 8192, 128]}",0,226492416,"{""negate"": 37748736}",0,155189248,150994944,2 multiply + 1 add/元素，rotate_half 符号翻转分列；表按批／头理想复用。 Llama has no Q/K norm; shared default position table counted once per layer.
1,kv_append,state,"{""new_K_and_V_each"": [1, 8, 8192, 128]}",0,0,{},0,33554432,33554432,原位／分页 append 载荷；不假定动态 torch.cat 对旧缓存整段复制。
1,qk,attention,"{""Q"": [1, 64, 8192, 128], ""K_shared"": [1, 8, 8192, 128], ""scores_rectangular"": [1, 64, 8192, 8192]}",549822922752,0,{},0,150994944,17179869184,FLOPs 仅有效因果位置；载荷是假定 Q/K 各读一次、GQA 头共享，完整分数矩阵物化。
1,score_scale_mask_softmax,softmax,"{""scores"": [1, 64, 8192, 8192]}",0,8590458880,"{""exp"": 2147745792, ""compare_max"": 2147221504, ""mask_decisions"": 4294967296}",0,17179869184,17179869184,选择的融合 scale/mask/softmax 代数工作；屏蔽点不计 exp。物化 FP32 默认概率；非具体 eager trace。
1,pv,attention,"{""P"": [1, 64, 8192, 8192], ""V_shared"": [1, 8, 8192, 128], ""output"": [1, 64, 8192, 128]}",549822922752,0,{},0,17196646400,134217728,PV/AV：各 Q 头仍计算；V 容量不乘 GQA 复制数。载荷假定 V 在头／查询之间理想复用。
1,o_proj,linear,"{""input"": [8192, 8192], ""weight_math"": [8192, 8192], ""weight_storage"": [8192, 8192], ""output"": [8192, 8192]}",1099511627776,0,{},134217728,134217728,134217728,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
1,attention_residual,residual,"{""inputs_each"": [8192, 8192], ""output"": [8192, 8192]}",0,67108864,{},0,268435456,134217728,
1,post_attention_layernorm,normalization,"{""input"": [8192, 8192], ""weight"": [8192], ""output"": [8192, 8192]}",0,268443648,"{""rsqrt"": 8192, ""cast_elements"": 134217728}",16384,134217728,134217728,按 FP32 行内归约的代数计数；rsqrt、类型转换与临时 FP32 张量分列／不推断 HBM spill。
1,gate_proj,linear,"{""input"": [8192, 8192], ""weight_math"": [8192, 28672], ""weight_storage"": [28672, 8192], ""output"": [8192, 28672]}",3848290697216,0,{},469762048,134217728,469762048,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
1,up_proj,linear,"{""input"": [8192, 8192], ""weight_math"": [8192, 28672], ""weight_storage"": [28672, 8192], ""output"": [8192, 28672]}",3848290697216,0,{},469762048,134217728,469762048,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
1,silu_mul,activation,"{""gate"": [8192, 28672], ""up"": [8192, 28672], ""output"": [8192, 28672]}",0,939524096,"{""exp"": 234881024, ""negate"": 234881024}",0,939524096,469762048,"sigmoid: exp(-x), +1, reciprocal；再乘 x 和 up。exp 与取负分列。"
1,down_proj,linear,"{""input"": [8192, 28672], ""weight_math"": [28672, 8192], ""weight_storage"": [8192, 28672], ""output"": [8192, 8192]}",3848290697216,0,{},469762048,469762048,134217728,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
1,ffn_residual,residual,"{""inputs_each"": [8192, 8192], ""output"": [8192, 8192]}",0,67108864,{},0,268435456,134217728,
2,input_layernorm,normalization,"{""input"": [8192, 8192], ""weight"": [8192], ""output"": [8192, 8192]}",0,268443648,"{""rsqrt"": 8192, ""cast_elements"": 134217728}",16384,134217728,134217728,按 FP32 行内归约的代数计数；rsqrt、类型转换与临时 FP32 张量分列／不推断 HBM spill。
2,q_proj,linear,"{""input"": [8192, 8192], ""weight_math"": [8192, 8192], ""weight_storage"": [8192, 8192], ""output"": [8192, 8192]}",1099511627776,0,{},134217728,134217728,134217728,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
2,k_proj,linear,"{""input"": [8192, 8192], ""weight_math"": [8192, 1024], ""weight_storage"": [1024, 8192], ""output"": [8192, 1024]}",137438953472,0,{},16777216,134217728,16777216,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
2,v_proj,linear,"{""input"": [8192, 8192], ""weight_math"": [8192, 1024], ""weight_storage"": [1024, 8192], ""output"": [8192, 1024]}",137438953472,0,{},16777216,134217728,16777216,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
2,apply_rope,position,"{""Q"": [1, 64, 8192, 128], ""K"": [1, 8, 8192, 128]}",0,226492416,"{""negate"": 37748736}",0,155189248,150994944,2 multiply + 1 add/元素，rotate_half 符号翻转分列；表按批／头理想复用。 Llama has no Q/K norm; shared default position table counted once per layer.
2,kv_append,state,"{""new_K_and_V_each"": [1, 8, 8192, 128]}",0,0,{},0,33554432,33554432,原位／分页 append 载荷；不假定动态 torch.cat 对旧缓存整段复制。
2,qk,attention,"{""Q"": [1, 64, 8192, 128], ""K_shared"": [1, 8, 8192, 128], ""scores_rectangular"": [1, 64, 8192, 8192]}",549822922752,0,{},0,150994944,17179869184,FLOPs 仅有效因果位置；载荷是假定 Q/K 各读一次、GQA 头共享，完整分数矩阵物化。
2,score_scale_mask_softmax,softmax,"{""scores"": [1, 64, 8192, 8192]}",0,8590458880,"{""exp"": 2147745792, ""compare_max"": 2147221504, ""mask_decisions"": 4294967296}",0,17179869184,17179869184,选择的融合 scale/mask/softmax 代数工作；屏蔽点不计 exp。物化 FP32 默认概率；非具体 eager trace。
2,pv,attention,"{""P"": [1, 64, 8192, 8192], ""V_shared"": [1, 8, 8192, 128], ""output"": [1, 64, 8192, 128]}",549822922752,0,{},0,17196646400,134217728,PV/AV：各 Q 头仍计算；V 容量不乘 GQA 复制数。载荷假定 V 在头／查询之间理想复用。
2,o_proj,linear,"{""input"": [8192, 8192], ""weight_math"": [8192, 8192], ""weight_storage"": [8192, 8192], ""output"": [8192, 8192]}",1099511627776,0,{},134217728,134217728,134217728,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
2,attention_residual,residual,"{""inputs_each"": [8192, 8192], ""output"": [8192, 8192]}",0,67108864,{},0,268435456,134217728,
2,post_attention_layernorm,normalization,"{""input"": [8192, 8192], ""weight"": [8192], ""output"": [8192, 8192]}",0,268443648,"{""rsqrt"": 8192, ""cast_elements"": 134217728}",16384,134217728,134217728,按 FP32 行内归约的代数计数；rsqrt、类型转换与临时 FP32 张量分列／不推断 HBM spill。
2,gate_proj,linear,"{""input"": [8192, 8192], ""weight_math"": [8192, 28672], ""weight_storage"": [28672, 8192], ""output"": [8192, 28672]}",3848290697216,0,{},469762048,134217728,469762048,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
2,up_proj,linear,"{""input"": [8192, 8192], ""weight_math"": [8192, 28672], ""weight_storage"": [28672, 8192], ""output"": [8192, 28672]}",3848290697216,0,{},469762048,134217728,469762048,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
2,silu_mul,activation,"{""gate"": [8192, 28672], ""up"": [8192, 28672], ""output"": [8192, 28672]}",0,939524096,"{""exp"": 234881024, ""negate"": 234881024}",0,939524096,469762048,"sigmoid: exp(-x), +1, reciprocal；再乘 x 和 up。exp 与取负分列。"
2,down_proj,linear,"{""input"": [8192, 28672], ""weight_math"": [28672, 8192], ""weight_storage"": [8192, 28672], ""output"": [8192, 8192]}",3848290697216,0,{},469762048,469762048,134217728,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
2,ffn_residual,residual,"{""inputs_each"": [8192, 8192], ""output"": [8192, 8192]}",0,67108864,{},0,268435456,134217728,
3,input_layernorm,normalization,"{""input"": [8192, 8192], ""weight"": [8192], ""output"": [8192, 8192]}",0,268443648,"{""rsqrt"": 8192, ""cast_elements"": 134217728}",16384,134217728,134217728,按 FP32 行内归约的代数计数；rsqrt、类型转换与临时 FP32 张量分列／不推断 HBM spill。
3,q_proj,linear,"{""input"": [8192, 8192], ""weight_math"": [8192, 8192], ""weight_storage"": [8192, 8192], ""output"": [8192, 8192]}",1099511627776,0,{},134217728,134217728,134217728,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
3,k_proj,linear,"{""input"": [8192, 8192], ""weight_math"": [8192, 1024], ""weight_storage"": [1024, 8192], ""output"": [8192, 1024]}",137438953472,0,{},16777216,134217728,16777216,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
3,v_proj,linear,"{""input"": [8192, 8192], ""weight_math"": [8192, 1024], ""weight_storage"": [1024, 8192], ""output"": [8192, 1024]}",137438953472,0,{},16777216,134217728,16777216,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
3,apply_rope,position,"{""Q"": [1, 64, 8192, 128], ""K"": [1, 8, 8192, 128]}",0,226492416,"{""negate"": 37748736}",0,155189248,150994944,2 multiply + 1 add/元素，rotate_half 符号翻转分列；表按批／头理想复用。 Llama has no Q/K norm; shared default position table counted once per layer.
3,kv_append,state,"{""new_K_and_V_each"": [1, 8, 8192, 128]}",0,0,{},0,33554432,33554432,原位／分页 append 载荷；不假定动态 torch.cat 对旧缓存整段复制。
3,qk,attention,"{""Q"": [1, 64, 8192, 128], ""K_shared"": [1, 8, 8192, 128], ""scores_rectangular"": [1, 64, 8192, 8192]}",549822922752,0,{},0,150994944,17179869184,FLOPs 仅有效因果位置；载荷是假定 Q/K 各读一次、GQA 头共享，完整分数矩阵物化。
3,score_scale_mask_softmax,softmax,"{""scores"": [1, 64, 8192, 8192]}",0,8590458880,"{""exp"": 2147745792, ""compare_max"": 2147221504, ""mask_decisions"": 4294967296}",0,17179869184,17179869184,选择的融合 scale/mask/softmax 代数工作；屏蔽点不计 exp。物化 FP32 默认概率；非具体 eager trace。
3,pv,attention,"{""P"": [1, 64, 8192, 8192], ""V_shared"": [1, 8, 8192, 128], ""output"": [1, 64, 8192, 128]}",549822922752,0,{},0,17196646400,134217728,PV/AV：各 Q 头仍计算；V 容量不乘 GQA 复制数。载荷假定 V 在头／查询之间理想复用。
3,o_proj,linear,"{""input"": [8192, 8192], ""weight_math"": [8192, 8192], ""weight_storage"": [8192, 8192], ""output"": [8192, 8192]}",1099511627776,0,{},134217728,134217728,134217728,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
3,attention_residual,residual,"{""inputs_each"": [8192, 8192], ""output"": [8192, 8192]}",0,67108864,{},0,268435456,134217728,
3,post_attention_layernorm,normalization,"{""input"": [8192, 8192], ""weight"": [8192], ""output"": [8192, 8192]}",0,268443648,"{""rsqrt"": 8192, ""cast_elements"": 134217728}",16384,134217728,134217728,按 FP32 行内归约的代数计数；rsqrt、类型转换与临时 FP32 张量分列／不推断 HBM spill。
3,gate_proj,linear,"{""input"": [8192, 8192], ""weight_math"": [8192, 28672], ""weight_storage"": [28672, 8192], ""output"": [8192, 28672]}",3848290697216,0,{},469762048,134217728,469762048,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
3,up_proj,linear,"{""input"": [8192, 8192], ""weight_math"": [8192, 28672], ""weight_storage"": [28672, 8192], ""output"": [8192, 28672]}",3848290697216,0,{},469762048,134217728,469762048,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
3,silu_mul,activation,"{""gate"": [8192, 28672], ""up"": [8192, 28672], ""output"": [8192, 28672]}",0,939524096,"{""exp"": 234881024, ""negate"": 234881024}",0,939524096,469762048,"sigmoid: exp(-x), +1, reciprocal；再乘 x 和 up。exp 与取负分列。"
3,down_proj,linear,"{""input"": [8192, 28672], ""weight_math"": [28672, 8192], ""weight_storage"": [8192, 28672], ""output"": [8192, 8192]}",3848290697216,0,{},469762048,469762048,134217728,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
3,ffn_residual,residual,"{""inputs_each"": [8192, 8192], ""output"": [8192, 8192]}",0,67108864,{},0,268435456,134217728,
4,input_layernorm,normalization,"{""input"": [8192, 8192], ""weight"": [8192], ""output"": [8192, 8192]}",0,268443648,"{""rsqrt"": 8192, ""cast_elements"": 134217728}",16384,134217728,134217728,按 FP32 行内归约的代数计数；rsqrt、类型转换与临时 FP32 张量分列／不推断 HBM spill。
4,q_proj,linear,"{""input"": [8192, 8192], ""weight_math"": [8192, 8192], ""weight_storage"": [8192, 8192], ""output"": [8192, 8192]}",1099511627776,0,{},134217728,134217728,134217728,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
4,k_proj,linear,"{""input"": [8192, 8192], ""weight_math"": [8192, 1024], ""weight_storage"": [1024, 8192], ""output"": [8192, 1024]}",137438953472,0,{},16777216,134217728,16777216,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
4,v_proj,linear,"{""input"": [8192, 8192], ""weight_math"": [8192, 1024], ""weight_storage"": [1024, 8192], ""output"": [8192, 1024]}",137438953472,0,{},16777216,134217728,16777216,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
4,apply_rope,position,"{""Q"": [1, 64, 8192, 128], ""K"": [1, 8, 8192, 128]}",0,226492416,"{""negate"": 37748736}",0,155189248,150994944,2 multiply + 1 add/元素，rotate_half 符号翻转分列；表按批／头理想复用。 Llama has no Q/K norm; shared default position table counted once per layer.
4,kv_append,state,"{""new_K_and_V_each"": [1, 8, 8192, 128]}",0,0,{},0,33554432,33554432,原位／分页 append 载荷；不假定动态 torch.cat 对旧缓存整段复制。
4,qk,attention,"{""Q"": [1, 64, 8192, 128], ""K_shared"": [1, 8, 8192, 128], ""scores_rectangular"": [1, 64, 8192, 8192]}",549822922752,0,{},0,150994944,17179869184,FLOPs 仅有效因果位置；载荷是假定 Q/K 各读一次、GQA 头共享，完整分数矩阵物化。
4,score_scale_mask_softmax,softmax,"{""scores"": [1, 64, 8192, 8192]}",0,8590458880,"{""exp"": 2147745792, ""compare_max"": 2147221504, ""mask_decisions"": 4294967296}",0,17179869184,17179869184,选择的融合 scale/mask/softmax 代数工作；屏蔽点不计 exp。物化 FP32 默认概率；非具体 eager trace。
4,pv,attention,"{""P"": [1, 64, 8192, 8192], ""V_shared"": [1, 8, 8192, 128], ""output"": [1, 64, 8192, 128]}",549822922752,0,{},0,17196646400,134217728,PV/AV：各 Q 头仍计算；V 容量不乘 GQA 复制数。载荷假定 V 在头／查询之间理想复用。
4,o_proj,linear,"{""input"": [8192, 8192], ""weight_math"": [8192, 8192], ""weight_storage"": [8192, 8192], ""output"": [8192, 8192]}",1099511627776,0,{},134217728,134217728,134217728,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
4,attention_residual,residual,"{""inputs_each"": [8192, 8192], ""output"": [8192, 8192]}",0,67108864,{},0,268435456,134217728,
4,post_attention_layernorm,normalization,"{""input"": [8192, 8192], ""weight"": [8192], ""output"": [8192, 8192]}",0,268443648,"{""rsqrt"": 8192, ""cast_elements"": 134217728}",16384,134217728,134217728,按 FP32 行内归约的代数计数；rsqrt、类型转换与临时 FP32 张量分列／不推断 HBM spill。
4,gate_proj,linear,"{""input"": [8192, 8192], ""weight_math"": [8192, 28672], ""weight_storage"": [28672, 8192], ""output"": [8192, 28672]}",3848290697216,0,{},469762048,134217728,469762048,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
4,up_proj,linear,"{""input"": [8192, 8192], ""weight_math"": [8192, 28672], ""weight_storage"": [28672, 8192], ""output"": [8192, 28672]}",3848290697216,0,{},469762048,134217728,469762048,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
4,silu_mul,activation,"{""gate"": [8192, 28672], ""up"": [8192, 28672], ""output"": [8192, 28672]}",0,939524096,"{""exp"": 234881024, ""negate"": 234881024}",0,939524096,469762048,"sigmoid: exp(-x), +1, reciprocal；再乘 x 和 up。exp 与取负分列。"
4,down_proj,linear,"{""input"": [8192, 28672], ""weight_math"": [28672, 8192], ""weight_storage"": [8192, 28672], ""output"": [8192, 8192]}",3848290697216,0,{},469762048,469762048,134217728,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
4,ffn_residual,residual,"{""inputs_each"": [8192, 8192], ""output"": [8192, 8192]}",0,67108864,{},0,268435456,134217728,
5,input_layernorm,normalization,"{""input"": [8192, 8192], ""weight"": [8192], ""output"": [8192, 8192]}",0,268443648,"{""rsqrt"": 8192, ""cast_elements"": 134217728}",16384,134217728,134217728,按 FP32 行内归约的代数计数；rsqrt、类型转换与临时 FP32 张量分列／不推断 HBM spill。
5,q_proj,linear,"{""input"": [8192, 8192], ""weight_math"": [8192, 8192], ""weight_storage"": [8192, 8192], ""output"": [8192, 8192]}",1099511627776,0,{},134217728,134217728,134217728,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
5,k_proj,linear,"{""input"": [8192, 8192], ""weight_math"": [8192, 1024], ""weight_storage"": [1024, 8192], ""output"": [8192, 1024]}",137438953472,0,{},16777216,134217728,16777216,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
5,v_proj,linear,"{""input"": [8192, 8192], ""weight_math"": [8192, 1024], ""weight_storage"": [1024, 8192], ""output"": [8192, 1024]}",137438953472,0,{},16777216,134217728,16777216,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
5,apply_rope,position,"{""Q"": [1, 64, 8192, 128], ""K"": [1, 8, 8192, 128]}",0,226492416,"{""negate"": 37748736}",0,155189248,150994944,2 multiply + 1 add/元素，rotate_half 符号翻转分列；表按批／头理想复用。 Llama has no Q/K norm; shared default position table counted once per layer.
5,kv_append,state,"{""new_K_and_V_each"": [1, 8, 8192, 128]}",0,0,{},0,33554432,33554432,原位／分页 append 载荷；不假定动态 torch.cat 对旧缓存整段复制。
5,qk,attention,"{""Q"": [1, 64, 8192, 128], ""K_shared"": [1, 8, 8192, 128], ""scores_rectangular"": [1, 64, 8192, 8192]}",549822922752,0,{},0,150994944,17179869184,FLOPs 仅有效因果位置；载荷是假定 Q/K 各读一次、GQA 头共享，完整分数矩阵物化。
5,score_scale_mask_softmax,softmax,"{""scores"": [1, 64, 8192, 8192]}",0,8590458880,"{""exp"": 2147745792, ""compare_max"": 2147221504, ""mask_decisions"": 4294967296}",0,17179869184,17179869184,选择的融合 scale/mask/softmax 代数工作；屏蔽点不计 exp。物化 FP32 默认概率；非具体 eager trace。
5,pv,attention,"{""P"": [1, 64, 8192, 8192], ""V_shared"": [1, 8, 8192, 128], ""output"": [1, 64, 8192, 128]}",549822922752,0,{},0,17196646400,134217728,PV/AV：各 Q 头仍计算；V 容量不乘 GQA 复制数。载荷假定 V 在头／查询之间理想复用。
5,o_proj,linear,"{""input"": [8192, 8192], ""weight_math"": [8192, 8192], ""weight_storage"": [8192, 8192], ""output"": [8192, 8192]}",1099511627776,0,{},134217728,134217728,134217728,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
5,attention_residual,residual,"{""inputs_each"": [8192, 8192], ""output"": [8192, 8192]}",0,67108864,{},0,268435456,134217728,
5,post_attention_layernorm,normalization,"{""input"": [8192, 8192], ""weight"": [8192], ""output"": [8192, 8192]}",0,268443648,"{""rsqrt"": 8192, ""cast_elements"": 134217728}",16384,134217728,134217728,按 FP32 行内归约的代数计数；rsqrt、类型转换与临时 FP32 张量分列／不推断 HBM spill。
5,gate_proj,linear,"{""input"": [8192, 8192], ""weight_math"": [8192, 28672], ""weight_storage"": [28672, 8192], ""output"": [8192, 28672]}",3848290697216,0,{},469762048,134217728,469762048,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
5,up_proj,linear,"{""input"": [8192, 8192], ""weight_math"": [8192, 28672], ""weight_storage"": [28672, 8192], ""output"": [8192, 28672]}",3848290697216,0,{},469762048,134217728,469762048,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
5,silu_mul,activation,"{""gate"": [8192, 28672], ""up"": [8192, 28672], ""output"": [8192, 28672]}",0,939524096,"{""exp"": 234881024, ""negate"": 234881024}",0,939524096,469762048,"sigmoid: exp(-x), +1, reciprocal；再乘 x 和 up。exp 与取负分列。"
5,down_proj,linear,"{""input"": [8192, 28672], ""weight_math"": [28672, 8192], ""weight_storage"": [8192, 28672], ""output"": [8192, 8192]}",3848290697216,0,{},469762048,469762048,134217728,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
5,ffn_residual,residual,"{""inputs_each"": [8192, 8192], ""output"": [8192, 8192]}",0,67108864,{},0,268435456,134217728,
6,input_layernorm,normalization,"{""input"": [8192, 8192], ""weight"": [8192], ""output"": [8192, 8192]}",0,268443648,"{""rsqrt"": 8192, ""cast_elements"": 134217728}",16384,134217728,134217728,按 FP32 行内归约的代数计数；rsqrt、类型转换与临时 FP32 张量分列／不推断 HBM spill。
6,q_proj,linear,"{""input"": [8192, 8192], ""weight_math"": [8192, 8192], ""weight_storage"": [8192, 8192], ""output"": [8192, 8192]}",1099511627776,0,{},134217728,134217728,134217728,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
6,k_proj,linear,"{""input"": [8192, 8192], ""weight_math"": [8192, 1024], ""weight_storage"": [1024, 8192], ""output"": [8192, 1024]}",137438953472,0,{},16777216,134217728,16777216,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
6,v_proj,linear,"{""input"": [8192, 8192], ""weight_math"": [8192, 1024], ""weight_storage"": [1024, 8192], ""output"": [8192, 1024]}",137438953472,0,{},16777216,134217728,16777216,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
