id,name,kind,inputs,output,matrix_flops,scalar_flops,special_ops,input_bytes,output_bytes,weight_bytes,notes,nonpadding_matrix_flops,normalization_vectors,normalization_width
31,up0.residual0.conv2,conv2d,"[""up0.residual0.silu2""]",up0.residual0.conv2,57982058496,6291456,{},12582912,12582912,4719616,"Dense same-padding slots, FMA=2; bias additions separate.",56979619840,,
32,up0.residual0.add,residual_add,"[""mid.residual1.divide_by_one"", ""up0.residual0.conv2""]",up0.residual0.add,0,6291456,{},25165824,12582912,0,,,,
33,up0.residual0.divide_by_one,residual_rescale,"[""up0.residual0.add""]",up0.residual0.divide_by_one,0,6291456,{},12582912,12582912,0,Pinned source divides by output_scale_factor=1; retained as source operation.,,,
34,up0.residual1.norm1,groupnorm,"[""up0.residual0.divide_by_one""]",up0.residual1.norm1,0,44040256,"{""rsqrt"": 64}",12582912,12582912,2048,"Biased-variance two-pass mathematical algorithm, 32 groups; kernel reduction algorithm/workspace unspecified.",,64,98304
35,up0.residual1.silu1,silu,"[""up0.residual1.norm1""]",up0.residual1.silu1,0,6291456,"{""sigmoid"": 6291456}",12582912,12582912,0,,,,
36,up0.residual1.conv1,conv2d,"[""up0.residual1.silu1""]",up0.residual1.conv1,57982058496,6291456,{},12582912,12582912,4719616,"Dense same-padding slots, FMA=2; bias additions separate.",56979619840,,
37,up0.residual1.norm2,groupnorm,"[""up0.residual1.conv1""]",up0.residual1.norm2,0,44040256,"{""rsqrt"": 64}",12582912,12582912,2048,"Biased-variance two-pass mathematical algorithm, 32 groups; kernel reduction algorithm/workspace unspecified.",,64,98304
38,up0.residual1.silu2,silu,"[""up0.residual1.norm2""]",up0.residual1.silu2,0,6291456,"{""sigmoid"": 6291456}",12582912,12582912,0,,,,
39,up0.residual1.conv2,conv2d,"[""up0.residual1.silu2""]",up0.residual1.conv2,57982058496,6291456,{},12582912,12582912,4719616,"Dense same-padding slots, FMA=2; bias additions separate.",56979619840,,
40,up0.residual1.add,residual_add,"[""up0.residual0.divide_by_one"", ""up0.residual1.conv2""]",up0.residual1.add,0,6291456,{},25165824,12582912,0,,,,
41,up0.residual1.divide_by_one,residual_rescale,"[""up0.residual1.add""]",up0.residual1.divide_by_one,0,6291456,{},12582912,12582912,0,Pinned source divides by output_scale_factor=1; retained as source operation.,,,
42,up0.residual2.norm1,groupnorm,"[""up0.residual1.divide_by_one""]",up0.residual2.norm1,0,44040256,"{""rsqrt"": 64}",12582912,12582912,2048,"Biased-variance two-pass mathematical algorithm, 32 groups; kernel reduction algorithm/workspace unspecified.",,64,98304
43,up0.residual2.silu1,silu,"[""up0.residual2.norm1""]",up0.residual2.silu1,0,6291456,"{""sigmoid"": 6291456}",12582912,12582912,0,,,,
44,up0.residual2.conv1,conv2d,"[""up0.residual2.silu1""]",up0.residual2.conv1,57982058496,6291456,{},12582912,12582912,4719616,"Dense same-padding slots, FMA=2; bias additions separate.",56979619840,,
45,up0.residual2.norm2,groupnorm,"[""up0.residual2.conv1""]",up0.residual2.norm2,0,44040256,"{""rsqrt"": 64}",12582912,12582912,2048,"Biased-variance two-pass mathematical algorithm, 32 groups; kernel reduction algorithm/workspace unspecified.",,64,98304
46,up0.residual2.silu2,silu,"[""up0.residual2.norm2""]",up0.residual2.silu2,0,6291456,"{""sigmoid"": 6291456}",12582912,12582912,0,,,,
47,up0.residual2.conv2,conv2d,"[""up0.residual2.silu2""]",up0.residual2.conv2,57982058496,6291456,{},12582912,12582912,4719616,"Dense same-padding slots, FMA=2; bias additions separate.",56979619840,,
48,up0.residual2.add,residual_add,"[""up0.residual1.divide_by_one"", ""up0.residual2.conv2""]",up0.residual2.add,0,6291456,{},25165824,12582912,0,,,,
49,up0.residual2.divide_by_one,residual_rescale,"[""up0.residual2.add""]",up0.residual2.divide_by_one,0,6291456,{},12582912,12582912,0,Pinned source divides by output_scale_factor=1; retained as source operation.,,,
50,up0.nearest,nearest2d,"[""up0.residual2.divide_by_one""]",up0.nearest,0,0,{},12582912,50331648,0,"Nearest duplication, PyTorch>=2.1 BF16-capable branch; no floating interpolation arithmetic.",,,
51,up0.spatial_conv,conv2d,"[""up0.nearest""]",up0.spatial_conv,231928233984,25165824,{},50331648,50331648,4719616,"Dense same-padding slots, FMA=2; bias additions separate.",229919162368,,
52,up1.residual0.norm1,groupnorm,"[""up0.spatial_conv""]",up1.residual0.norm1,0,176160832,"{""rsqrt"": 64}",50331648,50331648,2048,"Biased-variance two-pass mathematical algorithm, 32 groups; kernel reduction algorithm/workspace unspecified.",,64,393216
53,up1.residual0.silu1,silu,"[""up1.residual0.norm1""]",up1.residual0.silu1,0,25165824,"{""sigmoid"": 25165824}",50331648,50331648,0,,,,
54,up1.residual0.conv1,conv2d,"[""up1.residual0.silu1""]",up1.residual0.conv1,231928233984,25165824,{},50331648,50331648,4719616,"Dense same-padding slots, FMA=2; bias additions separate.",229919162368,,
55,up1.residual0.norm2,groupnorm,"[""up1.residual0.conv1""]",up1.residual0.norm2,0,176160832,"{""rsqrt"": 64}",50331648,50331648,2048,"Biased-variance two-pass mathematical algorithm, 32 groups; kernel reduction algorithm/workspace unspecified.",,64,393216
56,up1.residual0.silu2,silu,"[""up1.residual0.norm2""]",up1.residual0.silu2,0,25165824,"{""sigmoid"": 25165824}",50331648,50331648,0,,,,
57,up1.residual0.conv2,conv2d,"[""up1.residual0.silu2""]",up1.residual0.conv2,231928233984,25165824,{},50331648,50331648,4719616,"Dense same-padding slots, FMA=2; bias additions separate.",229919162368,,
58,up1.residual0.add,residual_add,"[""up0.spatial_conv"", ""up1.residual0.conv2""]",up1.residual0.add,0,25165824,{},100663296,50331648,0,,,,
59,up1.residual0.divide_by_one,residual_rescale,"[""up1.residual0.add""]",up1.residual0.divide_by_one,0,25165824,{},50331648,50331648,0,Pinned source divides by output_scale_factor=1; retained as source operation.,,,
60,up1.residual1.norm1,groupnorm,"[""up1.residual0.divide_by_one""]",up1.residual1.norm1,0,176160832,"{""rsqrt"": 64}",50331648,50331648,2048,"Biased-variance two-pass mathematical algorithm, 32 groups; kernel reduction algorithm/workspace unspecified.",,64,393216
61,up1.residual1.silu1,silu,"[""up1.residual1.norm1""]",up1.residual1.silu1,0,25165824,"{""sigmoid"": 25165824}",50331648,50331648,0,,,,
62,up1.residual1.conv1,conv2d,"[""up1.residual1.silu1""]",up1.residual1.conv1,231928233984,25165824,{},50331648,50331648,4719616,"Dense same-padding slots, FMA=2; bias additions separate.",229919162368,,
63,up1.residual1.norm2,groupnorm,"[""up1.residual1.conv1""]",up1.residual1.norm2,0,176160832,"{""rsqrt"": 64}",50331648,50331648,2048,"Biased-variance two-pass mathematical algorithm, 32 groups; kernel reduction algorithm/workspace unspecified.",,64,393216
64,up1.residual1.silu2,silu,"[""up1.residual1.norm2""]",up1.residual1.silu2,0,25165824,"{""sigmoid"": 25165824}",50331648,50331648,0,,,,
65,up1.residual1.conv2,conv2d,"[""up1.residual1.silu2""]",up1.residual1.conv2,231928233984,25165824,{},50331648,50331648,4719616,"Dense same-padding slots, FMA=2; bias additions separate.",229919162368,,
66,up1.residual1.add,residual_add,"[""up1.residual0.divide_by_one"", ""up1.residual1.conv2""]",up1.residual1.add,0,25165824,{},100663296,50331648,0,,,,
67,up1.residual1.divide_by_one,residual_rescale,"[""up1.residual1.add""]",up1.residual1.divide_by_one,0,25165824,{},50331648,50331648,0,Pinned source divides by output_scale_factor=1; retained as source operation.,,,
68,up1.residual2.norm1,groupnorm,"[""up1.residual1.divide_by_one""]",up1.residual2.norm1,0,176160832,"{""rsqrt"": 64}",50331648,50331648,2048,"Biased-variance two-pass mathematical algorithm, 32 groups; kernel reduction algorithm/workspace unspecified.",,64,393216
69,up1.residual2.silu1,silu,"[""up1.residual2.norm1""]",up1.residual2.silu1,0,25165824,"{""sigmoid"": 25165824}",50331648,50331648,0,,,,
70,up1.residual2.conv1,conv2d,"[""up1.residual2.silu1""]",up1.residual2.conv1,231928233984,25165824,{},50331648,50331648,4719616,"Dense same-padding slots, FMA=2; bias additions separate.",229919162368,,
71,up1.residual2.norm2,groupnorm,"[""up1.residual2.conv1""]",up1.residual2.norm2,0,176160832,"{""rsqrt"": 64}",50331648,50331648,2048,"Biased-variance two-pass mathematical algorithm, 32 groups; kernel reduction algorithm/workspace unspecified.",,64,393216
72,up1.residual2.silu2,silu,"[""up1.residual2.norm2""]",up1.residual2.silu2,0,25165824,"{""sigmoid"": 25165824}",50331648,50331648,0,,,,
73,up1.residual2.conv2,conv2d,"[""up1.residual2.silu2""]",up1.residual2.conv2,231928233984,25165824,{},50331648,50331648,4719616,"Dense same-padding slots, FMA=2; bias additions separate.",229919162368,,
74,up1.residual2.add,residual_add,"[""up1.residual1.divide_by_one"", ""up1.residual2.conv2""]",up1.residual2.add,0,25165824,{},100663296,50331648,0,,,,
75,up1.residual2.divide_by_one,residual_rescale,"[""up1.residual2.add""]",up1.residual2.divide_by_one,0,25165824,{},50331648,50331648,0,Pinned source divides by output_scale_factor=1; retained as source operation.,,,
76,up1.nearest,nearest2d,"[""up1.residual2.divide_by_one""]",up1.nearest,0,0,{},50331648,201326592,0,"Nearest duplication, PyTorch>=2.1 BF16-capable branch; no floating interpolation arithmetic.",,,
77,up1.spatial_conv,conv2d,"[""up1.nearest""]",up1.spatial_conv,927712935936,100663296,{},201326592,201326592,4719616,"Dense same-padding slots, FMA=2; bias additions separate.",923690598400,,
78,up2.residual0.norm1,groupnorm,"[""up1.spatial_conv""]",up2.residual0.norm1,0,704643136,"{""rsqrt"": 64}",201326592,201326592,2048,"Biased-variance two-pass mathematical algorithm, 32 groups; kernel reduction algorithm/workspace unspecified.",,64,1572864
79,up2.residual0.silu1,silu,"[""up2.residual0.norm1""]",up2.residual0.silu1,0,100663296,"{""sigmoid"": 100663296}",201326592,201326592,0,,,,
80,up2.residual0.conv1,conv2d,"[""up2.residual0.silu1""]",up2.residual0.conv1,463856467968,50331648,{},201326592,100663296,2359808,"Dense same-padding slots, FMA=2; bias additions separate.",461845299200,,
81,up2.residual0.norm2,groupnorm,"[""up2.residual0.conv1""]",up2.residual0.norm2,0,352321600,"{""rsqrt"": 64}",100663296,100663296,1024,"Biased-variance two-pass mathematical algorithm, 32 groups; kernel reduction algorithm/workspace unspecified.",,64,786432
82,up2.residual0.silu2,silu,"[""up2.residual0.norm2""]",up2.residual0.silu2,0,50331648,"{""sigmoid"": 50331648}",100663296,100663296,0,,,,
83,up2.residual0.conv2,conv2d,"[""up2.residual0.silu2""]",up2.residual0.conv2,231928233984,50331648,{},100663296,100663296,1180160,"Dense same-padding slots, FMA=2; bias additions separate.",230922649600,,
84,up2.residual0.shortcut,conv2d,"[""up1.spatial_conv""]",up2.residual0.shortcut,51539607552,50331648,{},201326592,100663296,262656,"Dense same-padding slots, FMA=2; bias additions separate.",51539607552,,
85,up2.residual0.add,residual_add,"[""up2.residual0.shortcut"", ""up2.residual0.conv2""]",up2.residual0.add,0,50331648,{},201326592,100663296,0,,,,
86,up2.residual0.divide_by_one,residual_rescale,"[""up2.residual0.add""]",up2.residual0.divide_by_one,0,50331648,{},100663296,100663296,0,Pinned source divides by output_scale_factor=1; retained as source operation.,,,
87,up2.residual1.norm1,groupnorm,"[""up2.residual0.divide_by_one""]",up2.residual1.norm1,0,352321600,"{""rsqrt"": 64}",100663296,100663296,1024,"Biased-variance two-pass mathematical algorithm, 32 groups; kernel reduction algorithm/workspace unspecified.",,64,786432
88,up2.residual1.silu1,silu,"[""up2.residual1.norm1""]",up2.residual1.silu1,0,50331648,"{""sigmoid"": 50331648}",100663296,100663296,0,,,,
89,up2.residual1.conv1,conv2d,"[""up2.residual1.silu1""]",up2.residual1.conv1,231928233984,50331648,{},100663296,100663296,1180160,"Dense same-padding slots, FMA=2; bias additions separate.",230922649600,,
90,up2.residual1.norm2,groupnorm,"[""up2.residual1.conv1""]",up2.residual1.norm2,0,352321600,"{""rsqrt"": 64}",100663296,100663296,1024,"Biased-variance two-pass mathematical algorithm, 32 groups; kernel reduction algorithm/workspace unspecified.",,64,786432
91,up2.residual1.silu2,silu,"[""up2.residual1.norm2""]",up2.residual1.silu2,0,50331648,"{""sigmoid"": 50331648}",100663296,100663296,0,,,,
92,up2.residual1.conv2,conv2d,"[""up2.residual1.silu2""]",up2.residual1.conv2,231928233984,50331648,{},100663296,100663296,1180160,"Dense same-padding slots, FMA=2; bias additions separate.",230922649600,,
93,up2.residual1.add,residual_add,"[""up2.residual0.divide_by_one"", ""up2.residual1.conv2""]",up2.residual1.add,0,50331648,{},201326592,100663296,0,,,,
94,up2.residual1.divide_by_one,residual_rescale,"[""up2.residual1.add""]",up2.residual1.divide_by_one,0,50331648,{},100663296,100663296,0,Pinned source divides by output_scale_factor=1; retained as source operation.,,,
95,up2.residual2.norm1,groupnorm,"[""up2.residual1.divide_by_one""]",up2.residual2.norm1,0,352321600,"{""rsqrt"": 64}",100663296,100663296,1024,"Biased-variance two-pass mathematical algorithm, 32 groups; kernel reduction algorithm/workspace unspecified.",,64,786432
96,up2.residual2.silu1,silu,"[""up2.residual2.norm1""]",up2.residual2.silu1,0,50331648,"{""sigmoid"": 50331648}",100663296,100663296,0,,,,
97,up2.residual2.conv1,conv2d,"[""up2.residual2.silu1""]",up2.residual2.conv1,231928233984,50331648,{},100663296,100663296,1180160,"Dense same-padding slots, FMA=2; bias additions separate.",230922649600,,
98,up2.residual2.norm2,groupnorm,"[""up2.residual2.conv1""]",up2.residual2.norm2,0,352321600,"{""rsqrt"": 64}",100663296,100663296,1024,"Biased-variance two-pass mathematical algorithm, 32 groups; kernel reduction algorithm/workspace unspecified.",,64,786432
99,up2.residual2.silu2,silu,"[""up2.residual2.norm2""]",up2.residual2.silu2,0,50331648,"{""sigmoid"": 50331648}",100663296,100663296,0,,,,
100,up2.residual2.conv2,conv2d,"[""up2.residual2.silu2""]",up2.residual2.conv2,231928233984,50331648,{},100663296,100663296,1180160,"Dense same-padding slots, FMA=2; bias additions separate.",230922649600,,
101,up2.residual2.add,residual_add,"[""up2.residual1.divide_by_one"", ""up2.residual2.conv2""]",up2.residual2.add,0,50331648,{},201326592,100663296,0,,,,
102,up2.residual2.divide_by_one,residual_rescale,"[""up2.residual2.add""]",up2.residual2.divide_by_one,0,50331648,{},100663296,100663296,0,Pinned source divides by output_scale_factor=1; retained as source operation.,,,
103,up2.nearest,nearest2d,"[""up2.residual2.divide_by_one""]",up2.nearest,0,0,{},100663296,402653184,0,"Nearest duplication, PyTorch>=2.1 BF16-capable branch; no floating interpolation arithmetic.",,,
104,up2.spatial_conv,conv2d,"[""up2.nearest""]",up2.spatial_conv,927712935936,201326592,{},402653184,402653184,1180160,"Dense same-padding slots, FMA=2; bias additions separate.",925700718592,,
105,up3.residual0.norm1,groupnorm,"[""up2.spatial_conv""]",up3.residual0.norm1,0,1409286208,"{""rsqrt"": 64}",402653184,402653184,1024,"Biased-variance two-pass mathematical algorithm, 32 groups; kernel reduction algorithm/workspace unspecified.",,64,3145728
106,up3.residual0.silu1,silu,"[""up3.residual0.norm1""]",up3.residual0.silu1,0,201326592,"{""sigmoid"": 201326592}",402653184,402653184,0,,,,
107,up3.residual0.conv1,conv2d,"[""up3.residual0.silu1""]",up3.residual0.conv1,463856467968,100663296,{},402653184,201326592,590080,"Dense same-padding slots, FMA=2; bias additions separate.",462850359296,,
108,up3.residual0.norm2,groupnorm,"[""up3.residual0.conv1""]",up3.residual0.norm2,0,704643136,"{""rsqrt"": 64}",201326592,201326592,512,"Biased-variance two-pass mathematical algorithm, 32 groups; kernel reduction algorithm/workspace unspecified.",,64,1572864
109,up3.residual0.silu2,silu,"[""up3.residual0.norm2""]",up3.residual0.silu2,0,100663296,"{""sigmoid"": 100663296}",201326592,201326592,0,,,,
110,up3.residual0.conv2,conv2d,"[""up3.residual0.silu2""]",up3.residual0.conv2,231928233984,100663296,{},201326592,201326592,295168,"Dense same-padding slots, FMA=2; bias additions separate.",231425179648,,
111,up3.residual0.shortcut,conv2d,"[""up2.spatial_conv""]",up3.residual0.shortcut,51539607552,100663296,{},402653184,201326592,65792,"Dense same-padding slots, FMA=2; bias additions separate.",51539607552,,
112,up3.residual0.add,residual_add,"[""up3.residual0.shortcut"", ""up3.residual0.conv2""]",up3.residual0.add,0,100663296,{},402653184,201326592,0,,,,
113,up3.residual0.divide_by_one,residual_rescale,"[""up3.residual0.add""]",up3.residual0.divide_by_one,0,100663296,{},201326592,201326592,0,Pinned source divides by output_scale_factor=1; retained as source operation.,,,
114,up3.residual1.norm1,groupnorm,"[""up3.residual0.divide_by_one""]",up3.residual1.norm1,0,704643136,"{""rsqrt"": 64}",201326592,201326592,512,"Biased-variance two-pass mathematical algorithm, 32 groups; kernel reduction algorithm/workspace unspecified.",,64,1572864
115,up3.residual1.silu1,silu,"[""up3.residual1.norm1""]",up3.residual1.silu1,0,100663296,"{""sigmoid"": 100663296}",201326592,201326592,0,,,,
116,up3.residual1.conv1,conv2d,"[""up3.residual1.silu1""]",up3.residual1.conv1,231928233984,100663296,{},201326592,201326592,295168,"Dense same-padding slots, FMA=2; bias additions separate.",231425179648,,
117,up3.residual1.norm2,groupnorm,"[""up3.residual1.conv1""]",up3.residual1.norm2,0,704643136,"{""rsqrt"": 64}",201326592,201326592,512,"Biased-variance two-pass mathematical algorithm, 32 groups; kernel reduction algorithm/workspace unspecified.",,64,1572864
118,up3.residual1.silu2,silu,"[""up3.residual1.norm2""]",up3.residual1.silu2,0,100663296,"{""sigmoid"": 100663296}",201326592,201326592,0,,,,
119,up3.residual1.conv2,conv2d,"[""up3.residual1.silu2""]",up3.residual1.conv2,231928233984,100663296,{},201326592,201326592,295168,"Dense same-padding slots, FMA=2; bias additions separate.",231425179648,,
120,up3.residual1.add,residual_add,"[""up3.residual0.divide_by_one"", ""up3.residual1.conv2""]",up3.residual1.add,0,100663296,{},402653184,201326592,0,,,,
121,up3.residual1.divide_by_one,residual_rescale,"[""up3.residual1.add""]",up3.residual1.divide_by_one,0,100663296,{},201326592,201326592,0,Pinned source divides by output_scale_factor=1; retained as source operation.,,,
122,up3.residual2.norm1,groupnorm,"[""up3.residual1.divide_by_one""]",up3.residual2.norm1,0,704643136,"{""rsqrt"": 64}",201326592,201326592,512,"Biased-variance two-pass mathematical algorithm, 32 groups; kernel reduction algorithm/workspace unspecified.",,64,1572864
123,up3.residual2.silu1,silu,"[""up3.residual2.norm1""]",up3.residual2.silu1,0,100663296,"{""sigmoid"": 100663296}",201326592,201326592,0,,,,
124,up3.residual2.conv1,conv2d,"[""up3.residual2.silu1""]",up3.residual2.conv1,231928233984,100663296,{},201326592,201326592,295168,"Dense same-padding slots, FMA=2; bias additions separate.",231425179648,,
125,up3.residual2.norm2,groupnorm,"[""up3.residual2.conv1""]",up3.residual2.norm2,0,704643136,"{""rsqrt"": 64}",201326592,201326592,512,"Biased-variance two-pass mathematical algorithm, 32 groups; kernel reduction algorithm/workspace unspecified.",,64,1572864
126,up3.residual2.silu2,silu,"[""up3.residual2.norm2""]",up3.residual2.silu2,0,100663296,"{""sigmoid"": 100663296}",201326592,201326592,0,,,,
127,up3.residual2.conv2,conv2d,"[""up3.residual2.silu2""]",up3.residual2.conv2,231928233984,100663296,{},201326592,201326592,295168,"Dense same-padding slots, FMA=2; bias additions separate.",231425179648,,
128,up3.residual2.add,residual_add,"[""up3.residual1.divide_by_one"", ""up3.residual2.conv2""]",up3.residual2.add,0,100663296,{},402653184,201326592,0,,,,
129,up3.residual2.divide_by_one,residual_rescale,"[""up3.residual2.add""]",up3.residual2.divide_by_one,0,100663296,{},201326592,201326592,0,Pinned source divides by output_scale_factor=1; retained as source operation.,,,
130,decoder.output_norm,groupnorm,"[""up3.residual2.divide_by_one""]",decoder.output_norm,0,704643136,"{""rsqrt"": 64}",201326592,201326592,512,"Biased-variance two-pass mathematical algorithm, 32 groups; kernel reduction algorithm/workspace unspecified.",,64,1572864
131,decoder.output_silu,silu,"[""decoder.output_norm""]",decoder.output_silu,0,100663296,"{""sigmoid"": 100663296}",201326592,201326592,0,,,,
132,decoder.output,conv2d,"[""decoder.output_silu""]",decoder.output,5435817984,2359296,{},201326592,4718592,6918,"Dense same-padding slots, FMA=2; bias additions separate.",5424027648,,
