number	decision	reason
52	排除	根据 ISA／架构规格合成 SoC 控制逻辑，主要验证 RISC-V 与密码加速器；不同于第 5 章以 profiling 反馈优化张量内核。
53	备查	CRUSH 以 credit 和依赖约束共享 HLS 功能单元；保留资源共享方法参照，不将 Dynamatic 集成声明写成推理框架特性。
54	排除	AMuLeT 在微架构模拟器内测试安全投机防护；这里的 speculation 不是 LLM 推测解码，不增加 CPU 攻击专题。
55	排除	RTL 仿真的共享指令代码与 LLC 瓶颈；本书已有 AI 复用和争用例子，不展开 EDA 仿真系统。
56	备查	Parendi 为 Graphcore IPU 上的 RTL 仿真平衡同步、通信和计算；有切分方法价值，已有 AI 贯穿案例，不另开 EDA 仿真内容。
58	备查	Imbres 联合调整微服务容器的负载、连接和资源；可作 11 的争用背景，不能直接等同 MoE 专家调度或模型 goodput。
60	备查	虚拟 SSD 的隔离、利用率与 RL 奖励取舍；不是模型 RL 训练调度，暂不扩展存储控制器专题。
61	备查	ZRAID 借 ZRWA 改变 ZNS RAID 部分校验的写入与回收；仅作存储写放大背景，不直接移植为 KV 缓存性能。
63	排除	MOAT 研究 DRAM 行激活计数与 Rowhammer 防护，超出 AI 资源配置和模型运行环境主线。
64	排除	HyperHammer 是特定配置下的虚拟化隔离概念验证；摘要明确限定系统条件，不用它替代 Agent 沙箱设计或泛化现行服务风险。
67	备查	SuperNoVA 以 SLAM 子图和专用硬件协调期限与质量；已有协同设计案例覆盖这项判断，暂不增加机器人后端细节。
68	备查	OctoCache 优化 OctoMap 的体素访问、树更新与任务时序；导航缓存不等于 LLM KV，暂作数据布局方法备查。
69	备查	科学浮点无损压缩比较 CPU／GPU 的压缩比与处理代价；其数据分布和 4090 吞吐不能直接套到模型权重或 KV。
70	排除	NACHO 面向能量采集设备的断续执行和非易失内存读后写依赖，与本书模型状态、RL replay 或服务缓存的语义不同。
71	备查	Fusion 让纠删码条带保留可直接计算的数据单元；可备查布局与存储下推，现有检查点布局案例已覆盖主要判断，不另开 SQL 专题。
72	排除	VertexSurge 面向十亿边图的变长路径模式查询，非神经网络计算图或 Agent 模型服务；不扩展本书图查询范围。
73	重点阅读并整合	llm.npu 正文与 MLLM v1／2026 AOT 路线核清 prefill、CPU／NPU 分工、量化与固定形状；补 4.6.5／12.2.3，GPU＋NPU 仿真不当作框架实测。
74	重点阅读并整合	Helix 将放置与请求路径联合建模为容量网络；用于 6.2.3／实验 6-2 的异构 PP 变体，保留静态吞吐、请求固定路径、KV 预测、仿真与工件版本边界。
75	重点阅读并整合	FlexSP 正文与固定分支核清长度分布、分组和实现边界；接 10.2.3／实验 10-3 的 Qwen3 推算变体，不把 GPT／A100 拟合系数或未来 CP 支持直接迁移。
76	重点阅读并整合	Spindle 的共享组件训练正文与固定研究分支核清分支扩展曲线、汇合和重配成本；接 10.3.1／实验 10-5 选做，64 卡实测与 256 卡模拟分开。
77	候选待读	KVM、SR-IOV 与 GPU Direct RoCE 的生产训练路径适合作为虚拟化边界案例；须读正文核对网络拓扑、模型切分和理想吞吐分母，摘要中的约 80% 不能当作 MFU。
78	重点阅读并整合	NeuSight 的已声明正文与固定源码范围用于 13.5.1 的阶段预测校准；精度、tile 数据、库版本和执行图边界保留，不新增核心实验。
79	备查	N:M 剪枝、向量码本和阵列协同，实验主要是视觉 CNN；已有模型量化主线，暂不增算法小节。
80	重点阅读并整合	PartIR 方法页3–5与固定 Shardy 路径用于6.2.2核对局部形状和集合载荷；不采纳未读性能评估，不把传播与全局最优策略等同。
81	候选待读	算子级 DVFS 与性能／功耗建模直接关联资源瓶颈，候选用于说明降频是否延长关键路径；仅摘要可知针对昇腾的毫秒级调频，不能推广成任意 GPU 能力或整机能耗结论。
82	排除	面向 HDC 分类器的统计早停，模型、误差结构与本书 Transformer 推理主线不同；不作为推测解码或 reasoning 提前停止的直接依据。
83	排除	BitSpec 针对小型处理器整数变量的位宽推测与纠错执行，不能等同 LLM 权重量化；保留筛选记录，避免编译章节扩成通用嵌入式处理器综述。
84	排除	研究 CPU 硬件预取器侧信道，超出本书 Agent 沙箱容量、启动和调度主线；不以此补充攻击实现细节。
85	排除	Skia 面向服务器 CPU 前端和分支目标缓冲，不直接解释 AI 算子或模型服务的关键瓶颈；保留记录，不增加通用 CPU 微架构支线。
86	排除	服务器指令预取与通用代码工作集优化，缺少本书模型资源计算的直接落点；不因涉及数据中心就加入 AI 网络或推理章节。
87	排除	共享内存原子区域的事务重试与 cacheline 锁，区别于 LLM 的推测解码和 rollout 重试。
88	备查	可用于核对 CXL.cache 一致性语义与协议证明边界，不能当作 CXL.mem 内存池带宽或 KV 共享性能的证据；无需展开数万条证明。
89	备查	事务处理的选择性一致性说明一致性语义也有代价；目前不能把 OLTP 吞吐提升迁移为 KV 池收益，需独立核对 AI 对象的读写及可见性要求。
90	备查	字节／块双接口、主机及设备缓存协调可供多级缓存写放大背景参考；ByteFS 的可编程 SSD 与仿真结果不等于真实 CXL KV 池实现。
91	候选待读	M5 将页迁移的计数和跟踪下沉到 CXL 控制器，适合追问搬一个 4KB 页实际搬了多少冷数据、识别热页本身花多少代价；需正文核对平台与迁移策略，不能把平均 14% 提升写成 KV 内存池收益。
92	候选待读	Melody 对真实 CXL 设备、CPU、负载和延迟档位做系统测量，适合校准纸笔模型的访存延迟与带宽；140–410ns 是所测配置范围，不能当统一 CXL 常数，需正文核对尾延迟、MLP 与预取器的影响。
93	候选待读	MoE-Lightning 的分层 Roofline 和 CPU/GPU/I/O 流水适合贯穿算容量、传输量与 batch 吞吐的案例；摘要明确为批处理推理，不能将单张 T4 的最高吞吐提升解释成 batch=1 的交互速度或总成本优势。
94	重点阅读并整合	已读物理页 1–13；采用梯度就绪、共享跨机链路与分桶空隙的判断，接 10.3 和实验 10-5；历史改型模型与当前预算分开。
95	候选待读	CoE 的专家是多个模型，依赖感知切换与分层驻留可补 11 路由；不能直接等同 MoE FFN 专家，先核服务质量与模型边界。
96	候选待读	Klotski 直接说明 batch 增大还会激活更多专家、增加 I/O，适合反复推算计算覆盖搬运的条件；后续需读约束规划与预取命中率、真实硬件和基线，85.12 倍只是摘要特定实验上限。
97	候选待读	MoC-System 的部分专家检查点、分片和两级异步持久化适合连接 MoE 总参数量与恢复成本；必须读正文确认未保存专家如何恢复、质量代价和状态一致性，不能把 comparable accuracy 写成精确恢复或 router replay。
98	候选待读	Concerto 将通信拆解与调度从具体并行策略中分离，适合说明算完通信量之后还要看关键路径和可重叠窗口；作者摘要只给框架性结论，未获得 PDF，暂不采信求解器成本或 Megatron/DeepSpeed 集成成熟度。
99	备查	SING 提供真实校园共享 GPU 集群的运营案例，可补充调度效率、公平性与有限运维人力之间的取舍；不直接照搬四层架构作为全书主线，也不将其等同已有生产 LLM 服务系统。
100	候选待读	PCcheck 适合用 checkpoint 数据量、持久化带宽、故障频率推算训练有效产出，连接单机和分布式训练；每 10 步约 3% 开销需正文核对模型、存储和一致性范围，不作为通用常数。
101	候选待读	Tally 将 GPU 共享落到 thread-block 级干扰控制，适合串起利用率与推理尾延迟；需正文核对支持的 kernel、设备、拦截机制和优先级前提，不能把摘要兼容性描述视为任意 CUDA Graph/协作 kernel 的保证。
102	候选待读	Balance 是具体 CPU 推荐推理的调度案例：embedding table 的核分配、MLP 与 chiplet 负载不均衡可用带宽约束解释；与 LLM CPU/GPU 协同有方法联系，但不能直接套用其 DLRM 的提速数。
103	排除	MopFuzzer 聚焦 JVM 优化阶段交互的正确性模糊测试，缺少 AI 算子 profile 与自动调优的直接证据；保留筛选记录，不扩展成通用 JVM 编译器专题。
104	排除	利用 CFG 语法分解加速不允许 live-range splitting 的精确寄存器分配，偏向通用算法复杂度；不等同 GPU tile 的 occupancy 优化，也不为本书增加寄存器分配理论推导。
105	排除	SURI 研究现代 x86-64 二进制重汇编与符号化，和模型容量、带宽、通信及 Agent 环境调度没有直接量化联系，不补写二进制重写支线。
106	备查	SmoothE 的可微 e-graph 提取可作为优化搜索空间与代价函数之间关系的背景；可微成本函数并不自动等于真实 kernel 时延，也不能代替 profiling feedback，暂不作为主实验。
107	候选待读	Exo 2 以可信变换原语构建可扩展调度库，适合说明为何手工优化工作量需要被程序化复用；后续可与 TVM、polyhedral 和 Agent 优化对照，但需正文核对三平台与 80 多 kernel 的范围。
108	排除	Manta 面向 stripped binaries 的类型推断与漏洞检测，超出 AI Infra 的建模主线；机构 HTML 和作者 PDF 存在摘要数值差异，分开保留，不混合成一个性能结论。
109	排除	SURW 的均匀性针对并发程序测试的交错采样，不能解释模型请求公平调度或 EP 的负载均衡；保留筛选记录，不扩成通用并发验证专题。
110	排除	TaOPT 通过移动应用 UI 子空间划分提高并行测试覆盖效率；它不是大模型 computer-use 的截图传输或推理回合优化，不能因 UI 和并行关键词加入端边云案例。
115	候选待读	按输出历史分布预测未来 batch 内存峰值，补 8 的准入与 11 的 goodput 判断；需核论文和 LightLLM 固定实现及分布漂移条件。
119	备查	持久 fuzzing 重用进程但恢复测试相关状态，可对照 11 的环境复用；它不直接证明多租户 Agent 的隔离或完整快照语义。
124	排除	Jasmin／Coq 的投机常数时间保护聚焦密码实现；不扩成本书 CPU 微架构攻击专题。
126	排除	自修改代码的指令缓存侧信道与检测，和本书 GPU 推理优化主线距离较远。
131	排除	量子纠错 MWPM 的异构加速，decode 是纠错译码，不能归入 LLM decode 案例。
136	备查	GNN 采样、IO 与计算协同有方法价值，但不新增模型家族；现有 Transformer 案例优先。
155	候选待读	CENT 把模型放到 CXL 近存设备并实现并行通信，可能补 4／6／13 的容量带宽选择；需核实际模型、批量、功耗和 TCO 假设。
164	候选待读	TensorTEE 的 CPU／NPU 数据粒度与重加密成本可补 6／11 的协同边界；需核模拟与安全假设，不当作现有 GPU 默认功能。
169	候选待读	Serverless 拥塞造成时长和费用变化，可补 11 成本；先核测试如何区分负载与干扰，不冒充服务商现行计费规则。
180	排除	嵌入式 NVRAM 指令缓存的编译与运行时，和模型权重／KV 分层不是同一流量，不扩展 MCU 专题。
181	备查	从内存映射规格生成低层 OS 代码，可能作 11 隔离机制背景；不当作大模型优化 kernel，作者预印本上传晚于出版年。
