number	decision	reason
27	候选待读	按阶段安排 CPU/GPU 计算，比较 NEO 与现有 AF；FlexInfer 不是 FlashInfer。
28	排除正文	多模态规划的不确定性与形式保证，重点是应用算法。
29	排除正文	机器学习框架供应链攻击，不扩展本书当前性能与容量分析的范围。
30	候选待读	百万 token 推理的 pass-KV/pass-Q，可补 6、7 的跨超节点推理例外；长 prefill 的 TCP 结果不能推广到短 decode。
31	重点阅读并整合	混合模型检查点准入与每字节省下的 prefill 工作，补 9.2.5、实验 9-4；与 2026 Unified Radix Cache 分清年代和状态类型。
32	排除正文	易失边缘设备上的联邦作业匹配，当前优先共享 GPU 集群与 Agent/RL 环境；摘要 Venn/Auxo 名称不一致待引用时核对。
33	备选，不新增	超内存数据子集选择可作训练数据成本旁证，主要贡献是子模优化算法。
34	备选，不新增	MCU 的 N:M 稀疏内核与 ISA 协同可作第 4 章对照，不增 MCU 专题。
35	候选待读	极低比特 MoE 的补偿参数与实际内核成本，可补 9.4 的极端量化说法核算。
36	候选待读	共享前缀缓存之后，attention 仍可能重复读数据；SGLang 上的树分组内核适合 5、9 衔接，先与 FlashInfer 去重。
37	排除正文	联邦对抗训练的鲁棒性与一致性，超出本书 LLM 系统主线。
38	候选待读	生产 VM 生存期分布、误判重估与资源整理，可深化 12.4 环境驻留；别把仿真收益当作生产增益。
39	候选待读	JaxPP 的 MPMD 执行与自定义流水调度，可作 11.3 对照，避免变成 JAX 教程。
40	备选，不新增	视频扩散的时空 attention 与跨机流水，主线保留简短多模态案例，不增加长视频专节。
41	候选待读	Lumos 用真实轨迹校准训练性能，适合 13.5 解释何时简单估算不足；不能以仿真替代最初的瓶颈判断。
42	备选，不新增	剪枝后蒸馏恢复质量与草稿接受率，算法贡献为主；先与现有新推测解码案例去重。
43	候选待读	端侧动态稀疏、缓存命中与权重读取，补 9.4 的 Flash/DRAM 分层边界；摘要部分是模拟结果。
44	排除正文	生物启发的前向学习算法，不是本书训练系统的核心执行路径。
45	候选待读	按行列重排批量分析请求以提高前缀复用，补 9.2 的请求组织；须检查重排是否保持任务语义。
46	候选待读	按请求与系统状态同时调度 TTFT/TPOT，和现有 chunked prefill、SLO 主线合并比较。
47	候选待读	异构 GPU 与网络条件下部署、在线重排，适合 10.2/10.6 的 A100/H20 分工；不照搬跨云价格倍数。
48	候选待读	tile 级计算通信编译与重叠，联系 5→6→7；与 COMET、MPK 去重，不相乘各论文加速比。
49	候选待读	prefill/decode 阶段重切模型和分层 KV，区别于独立 PD 实例；适用于吞吐导向任务，需扣除切换成本。
50	备选，不新增	硬件友好稀疏 attention 的统一执行，已有 V4/K3 比较主线；固定 KV 页数的精度只在原实验范围成立。
51	备选，不新增	运维 Agent 的真实环境、故障和可验证结果，可作第 12 章实验依据，不扩成云运维教材。
52	备选，不新增	端侧矩阵/向量单元并行与缓存调度，支持 4、5 设计取舍；仿真和实际 NPU 结果分别记录。
53	候选待读	超长上下文训练的 chunk 流水与卸载，适合 11.1/11.3；2M token 和 MFU 必须核对完整硬件、模型与计算口径。
54	重点阅读并整合	plan/run 分离使动态请求兼容图重放，补 5.4.4、实验 5-8；版本是论文的 FlashInfer v0.2 与 SGLang v0.3.4。
55	备选，不新增	应用提供小模型指导存储放置，和本书量化方法相合，但先保持 AI 工作负载的直接案例。
56	候选待读	MoE 细粒度通信计算重叠和工作分配，比较 Lancet、DeepEP、TBO/DBO 后决定 10.4/11.3 的统一案例。
57	备选，不新增	将非结构稀疏近似为结构稀疏，支持第 4 章硬件利用条件；属于近似变换，需质量约束。
58	排除正文	体积视频流与超分辨率，用户已要求第 8 章收敛为少量 AI 交互例子。
59	备选，不新增	联邦非训练工作负载的 serverless 缓存，和 12 的环境主题有联系，当前优先代码 Agent/RL。
60	备选，不新增	KV 量化与 attention 近似同时改动，已有 9.4 的质量/吞吐分析；不再添加量化算法小节。
61	候选待读	QServe 的 W4A8KV4 说明解量化会吃掉理论收益，适合 5、9；和 2024 Atom 及当前内核做同题比较。
