number	decision	reason
43	采用	用多个 on-policy RL 作业交错填补分离集群等待，且显式限制主机状态驻留；H20／H800 实验适合 11.5→12.2 的资源配比对照。
44	候选待读	RL 工作流的时空切分、上下文切换与弹性流水可补 11.5；与 Weave、DynaRL 比较后选少量代表，避免框架罗列。
45	候选待读	多轮工具长尾导致阶段瓶颈迁移，动态调资源及其迁移代价可补 12.2；先与静态配比和跨作业填闲区分。
46	候选待读	按轨迹解耦 Agent 环境、奖励及 PD 异构执行，连接 11.5 与 12 的 CPU 工具池；需核对异步策略界限及失败环境处理。
47	候选待读	同 prompt 的组内长度关联用于同步 rollout 长尾调度和推测解码，可补 11.5；不把统计预测当确定长度。
48	备选	CXL 停顿与快速线程切换说明容量扩展的延迟代价，但需要新增硬件且不是现有沙箱默认能力。
49	备选	Ray 对象共享与弱一致性协调可旁证 12 的状态搬移；数据处理 shuffle 结果不等于 RL rollout 状态迁移。
50	候选待读	跨 VM 冷内存回收和恢复直接关系 12.4 沙箱密度，需区分空闲容量、可回收容量及恢复尾延迟。
51	排除	SSD 内部控制器资源共享偏存储设备设计，暂不补 KV 层级缓存的数据搬移主线。
52	备选	分离缓存的热度跟踪和淘汰同步可旁证 10 的内存池元数据代价，但 YCSB 结果不是 LLM KV 命中性能。
53	排除	机密数据库的映射与加密关键路径不是本书模型资源和执行环境的主要问题。
54	候选待读	云 VM 内轻量 VM 的嵌套虚拟化成本可补 12.4；需核对硬件及协作条件，不当成 E2B 已实现机制。
55	排除	安全计算的加密数据分页与推测执行依赖 obliviousness，暂不扩入模型 KV 分层缓存。
56	备选	嵌套 VM 的信任边界可补沙箱隔离限制，但不展开 SEV 内部实现和协议。
57	排除	TrustZone USB 驱动提取偏外设安全，未补 AI 工具执行资源推算。
58	候选待读	CPU–GPU 混合、长 prefill 与并发 SLO 直接回应本地满血 MoE 的取舍；须逐项核对精度、模型、双路 CPU 和单／双卡配置。
59	候选待读	CPU 代理 EP 控制通道及异构 NIC 支持可补 7／10；保留 CPU 成本与数据路径，不能将代理误写成数据经 CPU 中转。
60	候选待读	离线批推理的事件驱动序列与专家批量可补 10 的任务完成时间目标；与在线 SLO、连续批处理明确区别。
61	候选待读	CPU 控制面与多路径传输应对集合通信流碰撞，可补 7 的网络资源瓶颈；先比较 UEP 和既有 NIC 借用案例避免重复。
62	候选待读	按硬件生命周期和实际负载做机架功率预算，可补 13 的供电约束；生产遥测与预硅预测不能混成实测。
63	候选待读	kernel 调度与频率联动影响动态／静态能耗，可补 5／13 的时间能耗取舍；不以瞬时功率代替每任务能耗。
64	备选	外部供给信号与 DAG 关键路径联合调度有方法价值，但 Spark 批任务暂不替换 AI 调度实例。
65	候选待读	组织任务价值异质性与动态配额定价可补 12.2 公平分配；需区分内部额度机制、任务效率与模型 API 市场价格。
66	排除	通用一致性协议的本地读优化偏分布式存储，不扩大本书 AI 模型通信范围。
67	排除	区块链有序共识与金融公平性不属于 AI Infra 资源调度的公平性问题。
68	排除	跨地域通用共识快路径不是跨超节点集合通信，避免因 RTT 术语引入旁支。
69	排除	拜占庭状态机协议竞速与模型 serving 的请求推测和故障恢复不是同一问题。
70	候选待读	训练数据相关的 GPU 静默错误与精确重放可补 11.4 诊断；23 张故障卡样本不能当总体失效率。
71	候选待读	轻量感知与精确验证分离可量化 11.4 检测成本；生产 GPU 小时、事件数与故障卡数要分开。
72	候选待读	控制良性非确定性后按算子定位首个分歧，补 5 的正确性反馈和 11.4 调试；不能将任意跨栈 bitwise 差异都判成 bug。
73	采用	RL 按角色恢复、保留 rollout 状态与重建通信可补 11.5／12.2；优先核对训练状态来源、旧权重轨迹约束及故障注入分母。
74	备选	分层文件系统的 CPU 与设备分工可旁证训练 IO，但暂不展开日志和文件语义，避免偏离模型执行主线。
75	备选	后台维护造成存储带宽竞争及按期限合并 IO 有方法价值；HDD 维护任务不是当前 KV／训练加载主案例。
76	候选待读	DFS 上 mmap 的页粒度网络利用和容器内存异常可补 11.4 数据准备，须核对矩阵负载与训练路径的对应。
77	候选待读	GPU 发起 IO、CPU 轮询完成可直接解释 5／9 的混合执行资源争用；SM 节省与端到端收益需分别核对。
78	备选	可编程 RDMA 与推荐预处理可作 1／7 的 SmartNIC 对照，但不扩成 FPGA 网络协议实现教程。
79	备选	BlueField DPA 与主机分工说明片上容量和 DMA 往返，通用 KV 索引并非模型 KV cache，暂不替换主例。
80	排除	通用 RDMA 锁公平性与模型 EP／集合通信调度不同，不增加分布式锁细节。
81	备选	DDIO 冲突缺失说明网络 CPU 成本不只由容量决定；保留为第 8 章实际链路的旁证，不直接外推 GPU RDMA。
82	候选待读	向量搜索节点依赖放宽产生预取窗口，适合 5／12 的 AI 数据路径对照；须守住召回率和 IO 条件，避免另开图算法章。
83	备选	多快照图分析以额外计算换 IO 有方法价值，但不是模型计算图执行，暂不引入具体图算法。
84	排除	分布式图分析复制与迁移已可由前章的数据搬移方法解释，不增加图处理框架分支。
85	候选待读	生产 ANNS 从 DRAM 到闪存的容量／IO／质量取舍可补 Agent 检索成本；集群成本口径与精度约束需正文核对。
86	排除	宽条带纠删码细节偏存储可靠性，训练检查点主线不需要展开编码设计。
87	备选	对象存储上日志持久化与排序分离可旁证状态恢复，但通用元数据服务成本不当作模型 KV 保存成本。
88	排除	防勒索磁盘时间锁不是本书 RL 状态和沙箱恢复的主要问题。
89	备选	S3 抽象模型验证可用于讨论系统测试边界，但不是资源性能模型，不纳入 BOTE 的性能推算案例。
90	备选	大型 VM 的迁移缺页与停机时间可补 12.4 状态转移边界；高端 VM 结果不能套到轻量沙箱。
91	备选	扩展虚拟地址避免物理搬移可对照 5／9 的分页方法，但 GPA 空间不等于真实内存容量，不单设篇幅。
92	排除	云 VM 内省与安全观察偏监控实现，暂不扩写 Agent 沙箱的资源主线。
93	候选待读	高密度容器的调度抖动与线程成组可补 12.1／12.4 CPU 并发；需核对是否有 AI 工具执行实例。
94	候选待读	L20／Ethernet 上跨实例错开 PD 降低搬移可补 10.2 的分离临界点；需核对等待与 goodput 条件及当前框架对照。
95	候选待读	SGLang 上 PP 的动态 chunk 与 decode 延迟调度补 6／9；先与已有 Sarathi 和排队算例比较，A100 40GB 结论不泛化所有互联。
96	备选	Slurm 资源上服务发现与路由可补 12 的服务控制面边界，但跨机构平台不改写第 7 章跨超节点网络。
97	候选待读	CPU–GPU 动态神经元放置可补 9.4 极端本地推理的取舍；必须核对稀疏模型、激活预测与质量，不能套到任意 Dense。
98	候选待读	混合位宽 GEMM 的形状自适应路径可补 4／5／9，先算解包和实际指令工作，不能仅按名义 bit 数推断速度。
99	候选待读	SWP 与 warp specialization 联合求解可补 5.3 手工／编译／Agent 优化比较；最优性限于模型，仍需真实 profiling。
100	候选待读	MLIR 与空间数据流核间映射可补 4／5 跨架构设计，Tenstorrent vendor 比较需核对精度、形状和芯片代际。
101	候选待读	MPK 将多卡推理降为 SM 任务图和 persistent kernel，可补 5.4／10 的调度粒度；与 CUDA Graph 区分，先核对适用模型和负载。
102	采用	图捕获的输入变换、参数复制与选择成本直接补 5.4 CUDA Graph；优先正文核对，再与 vLLM／SGLang 分段和整图实现比较。
103	候选待读	虚拟张量通过索引映射消除物理搬移，可补 5.2 融合的边界；零额外拷贝不等于零访问，索引和布局成本需计入。
104	备选	在线／批任务共置中的分配与实际工作差异可旁证 12／13，但 Spark 案例暂不替换已有 AI fleet 分析。
105	候选待读	将等待中的 continuation 保存／迁移与 Agent 环境驻留直接相邻，可补 12.4；需核对进程模型、外部状态和隔离。
106	候选待读	进程快照布局、预取和元数据批量恢复可补 12.4 冷启动；OS 原语改动及进程／VM 对照条件需保留。
107	备选	持久执行的推测与故障修复可补工具状态边界，但普通服务消息语义不能直接保证 Agent 外部操作可撤销。
108	候选待读	训练通信组增量重建与备用机器预热可补 11.4；1024 卡实验与 64K 卡投影应分开，并与 RobustRL 对比恢复粒度。
109	候选待读	GPU 页表构造和新虚拟地址避免 TLB 同步可补 5／9 显存管理；需核对驱动修改和实际可复现范围。
110	候选待读	消费卡多模型时分复用的迁移、双向链路和 pinned 内存预算可补 9.4／12；先与 Ollama 容量放置区分。
111	备选	FPGA 模块共享与隔离可作加速器执行对照，暂不引入硬件微内核的完整编程模型。
112	排除	多租户 eBPF 绑定与隔离不直接补 AI 工具执行或模型资源预算，暂不扩写。
113	候选待读	长寿命 VM 分散阻碍回收、预测漂移与迁移成本可补 12.4 环境池；0.6 个百分点密度收益须保留总体口径。
114	候选待读	维护预留容量与故障分组可补 13 的可用资源预算；上线维护时间目标不是单次模型请求 SLO。
115	既有采用待核对	ASI 已用于 12.2 的成组资源与碎片分析，本次完成整卷顺序摘要筛读；既有单篇归档另存，不重复计一篇新正文阅读或把分配率当 MFU。
116	备选	资源轨迹合成可讨论实验保真度，但不能以合成压力替代真实框架记录；仅在无法取得负载时说明近似范围。
117	备选	逐对象特征和淘汰策略干扰可补缓存决策方法，通用 web trace 不能当 KV 前缀命中结果。
118	候选待读	简单快速数据面与低频学习控制面适合 10／12 的缓存反馈讨论；解释性描述不代替优化目标或真实延迟验证。
119	排除	分布式存储写入 fencing 与线性一致缓存偏通用数据库，不因 cache 名称引入模型 KV 章。
120	备选	部分一致 CXL 的元数据容量可旁证 UB／内存池，需区分协议语义与本书已有硬件，不单列实现。
121	候选待读	移动 LLM 与前台共享带宽、推测解码提供让出点可补 8／9；既看 token 吞吐也看交互质量，不泛化 NPU 优先级。
122	排除	Android GC 的对象页寿命优化偏移动运行时内部，不补当前模型状态主线。
123	候选待读	大小核亲和与动态任务粒度直接解释 CPU 推理多核反而变慢，可补 5.5；算例须保持模型和功耗条件。
124	备选	交互链路语义驱动 CPU 调度可旁证第 8 章任务延迟，通用 App 启动不替换 AI 交互实例。
125	排除	量子经典混合计算超出本书当前 GPU／CPU AI Infra 范围，不因张量和 TPU 名称增加章节。
126	排除	加密协同编辑与 CRDT 快照一致性不属于模型执行或 Agent 沙箱资源分析。
127	候选待读	推荐模型硬件成本与架构搜索可旁证第 2 章设计尺寸；代理分数和离线 AUC 需核对，不能证明通用 LLM 甜点来源。
128	备选	LLM 处理设备遥测的数值提取／解释分离有方法价值，但诊断分数和 LLM-as-judge 不等于实际故障率改善。
129	候选待读	多资源过载控制和无显式队列的带宽限流可补 12 的 CPU 工具池；须找到 AI 路径映射并与现有供给预算比较。
130	排除	eBPF 合作抢占与内核调度细节不直接补当前 AI 负载主例。
131	备选	按类型定位访存代价可作 5.3 profiling 反馈旁证，但 Linux 结构布局不扩为 GPU 算子优化教程。
132	备选	日志指标追踪的统一存储和闲置资源可旁证生产观测成本，暂不加整套云可观测平台。
133	排除	移动分配器 slab 与弱内存验证不直接增加模型容量或访问量的判断能力。
134	备选	LLM 候选加符号验证可对照 5.3 优化 Agent 的反馈闭环，但证明搜索不是 kernel 性能优化结果。
135	排除	数值计算简洁证明与近似可满足性属于验证协议，不作为本书性能模型误差讨论的直接机制。
136	排除	Shell 流式程序静态类型检查与 AI Infra 资源安排关系较远，不引入工具语言类型系统细节。
